step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
103,1.030,0.820582,-0.000420,0.401999,0.883337,0.000000,0.439333,0.073022,22.2898,0.395909,0,0
104,1.040,0.826087,-0.000489,0.397843,0.888792,0.000000,0.433205,0.071990,21.8319,0.387861,0,0
105,1.050,0.831510,-0.000550,0.391790,0.894092,0.000000,0.427039,0.071828,21.3827,0.380128,0,0
106,1.060,0.836913,-0.000610,0.386655,0.899236,0.000000,0.420841,0.071086,20.9422,0.372434,0,0
107,1.070,0.843072,-0.000650,0.372932,0.904224,0.000000,0.414621,0.074013,20.5100,0.365619,0,0
108,1.080,0.848095,-0.000705,0.368851,0.909053,0.000000,0.408384,0.072658,20.0861,0.358095,0,0
109,1.090,0.853065,-0.000755,0.364696,0.913725,0.000000,0.402139,0.071289,19.6702,0.350704,0,0
110,1.100,0.857973,-0.000803,0.360475,0.918239,0.000000,0.395893,0.069908,19.2622,0.343449,0,0
111,1.110,0.862811,-0.000848,0.356194,0.922596,0.000000,0.389654,0.068516,18.8620,0.336322,0,0
112,1.120,0.867574,-0.000890,0.351860,0.926796,0.000000,0.383428,0.067115,18.4695,0.329326,0,0
113,1.130,0.872257,-0.000930,0.347479,0.930840,0.000000,0.377223,0.065707,18.0845,0.322457,0,0
114,1.140,0.876854,-0.000967,0.343058,0.934729,0.000000,0.371046,0.064294,17.7067,0.315710,0,0
115,1.150,0.881360,-0.001002,0.338606,0.938466,0.000000,0.364905,0.062878,17.3362,0.309087,0,0
116,1.160,0.885772,-0.001036,0.334128,0.942052,0.000000,0.358805,0.061461,16.9727,0.302585,0,0
117,1.170,0.890084,-0.001066,0.329632,0.945488,0.000000,0.352755,0.060045,16.6163,0.296202,0,0
118,1.180,0.894292,-0.001094,0.325197,0.948778,0.000000,0.346760,0.058607,16.2665,0.289931,0,0
119,1.190,0.898392,-0.001121,0.320691,0.951923,0.000000,0.340826,0.057204,15.9234,0.283779,0,0
120,1.200,0.902389,-0.001146,0.316275,0.954927,0.000000,0.334961,0.055775,15.5869,0.277736,0,0
121,1.210,0.906273,-0.001170,0.311785,0.957793,0.000000,0.329170,0.054386,15.2568,0.271811,0,0
122,1.220,0.910053,-0.001192,0.307377,0.960523,0.000000,0.323459,0.052983,14.9330,0.265991,0,0
123,1.230,0.913722,-0.001213,0.302987,0.963120,0.000000,0.317834,0.051596,14.6154,0.260280,0,0
124,1.240,0.917279,-0.001232,0.298623,0.965589,0.000000,0.312299,0.050223,14.3038,0.254676,0,0
125,1.250,0.920727,-0.001250,0.294296,0.967932,0.000000,0.306860,0.048865,13.9982,0.249177,0,0
126,1.260,0.924064,-0.001267,0.290011,0.970154,0.000000,0.301523,0.047523,13.6984,0.243782,0,0
127,1.270,0.927292,-0.001283,0.285777,0.972257,0.000000,0.296290,0.046196,13.4044,0.238488,0,0
128,1.280,0.930410,-0.001296,0.281599,0.974247,0.000000,0.291168,0.044888,13.1159,0.233294,0,0
129,1.290,0.933420,-0.001309,0.277483,0.976125,0.000000,0.286160,0.043598,12.8329,0.228198,0,0
130,1.300,0.936323,-0.001322,0.273435,0.977898,0.000000,0.281270,0.042327,12.5554,0.223200,0,0
131,1.310,0.939122,-0.001334,0.269460,0.979567,0.000000,0.276502,0.041075,12.2832,0.218296,0,0
132,1.320,0.941817,-0.001344,0.265564,0.981138,0.000000,0.271858,0.039844,12.0162,0.213487,0,0
133,1.330,0.944410,-0.001355,0.261751,0.982615,0.000000,0.267343,0.038636,11.7542,0.208768,0,0
